marca;titulo;categoria;precio;piezas;propietario;filepath;webviewPath
educa;Acuario;animales;15.5;500;Admin;https://firebasestorage.googleapis.com/v0/b/puzzle-21pop.appspot.com/o/acuario.png?alt=media&token=1ec1fe09-9615-4679-9987-0dea7df9864a;gs://puzzle-21pop.appspot.com/acuario.png
desconocido;casa campo;paisajes;12.5;500;Admin;https://firebasestorage.googleapis.com/v0/b/puzzle-21pop.appspot.com/o/casadecampo.png?alt=media&token=82d26214-ac82-4c52-8ee3-5c449fefa70f;gs://puzzle-21pop.appspot.com/casadecampo.png
creative;castellers;entretenimientos;25.5;1500;Admim;https://firebasestorage.googleapis.com/v0/b/puzzle-21pop.appspot.com/o/castellers.png?alt=media&token=f9d9a04a-1720-4ee2-869b-dfa157a38f5b;gs://puzzle-21pop.appspot.com/castellers.png
shuiji;castillo medieval;paisajes;21.5;1500;Admin;https://firebasestorage.googleapis.com/v0/b/puzzle-21pop.appspot.com/o/castillomedieval.png?alt=media&token=902c7bac-1642-42b7-bc90-a4adac0ae051;gs://puzzle-21pop.appspot.com/castillomedieval.png
educa;escudo Barça;entretenimientos;15.5;500;Admin;https://firebasestorage.googleapis.com/v0/b/puzzle-21pop.appspot.com/o/escudobar%C3%A7a.png?alt=media&token=ef349ffe-fbe0-4f65-854b-8e430047eeeb;gs://puzzle-21pop.appspot.com/escudobarça.png
desconocido;fuente Monjuich;paisajes;12.5;500;Admin;https://firebasestorage.googleapis.com/v0/b/puzzle-21pop.appspot.com/o/fuentemonjuich.png?alt=media&token=9ca3aa06-8fd2-4958-baeb-c5a758a70950;gs://puzzle-21pop.appspot.com/fuentemonjuich.png
educa;Gatitos;animales;9.5;500;Admin;https://firebasestorage.googleapis.com/v0/b/puzzle-21pop.appspot.com/o/gatitos.png?alt=media&token=2400223a-d966-4f41-a510-0180d16ca880;gs://puzzle-21pop.appspot.com/gatitos.png
shuiji;Neuschwanstein;paisajes;19.5;1000;Admin;https://firebasestorage.googleapis.com/v0/b/puzzle-21pop.appspot.com/o/newenschenger.png?alt=media&token=10640b0d-3db6-4e4b-b4dd-a8e104632270;gs://puzzle-21pop.appspot.com/newenschenger.png
educa;Rambles Canaletes;paisajes;22.5;1000;Admin;https://firebasestorage.googleapis.com/v0/b/puzzle-21pop.appspot.com/o/rambles.png?alt=media&token=a95844af-5a98-4370-81a6-446d33c693e9;gs://puzzle-21pop.appspot.com/rambles.png
educa;Sagrada Familia;paisajes;22.5;1000;Admin;https://firebasestorage.googleapis.com/v0/b/puzzle-21pop.appspot.com/o/sagradafamili.png?alt=media&token=e2928659-e1ed-47bb-b089-c61d654bf602;gs://puzzle-21pop.appspot.com/sagradafamili.png
